iter	Passed	Remaining
0	195	195682
1	244	122033
2	289	96143
3	340	84814
4	389	77560
5	440	72983
6	498	70764
7	552	68477
8	605	66673
9	651	64541
10	702	63153
11	751	61871
12	796	60475
13	854	60186
14	897	58933
15	948	58361
16	974	56348
17	1025	55959
18	1080	55782
19	1128	55280
20	1177	54894
21	1221	54288
22	1269	53917
23	1314	53474
24	1375	53648
25	1422	53307
26	1469	52944
27	1513	52544
28	1558	52186
29	1607	51976
30	1657	51807
31	1709	51718
32	1753	51370
33	1809	51418
34	1839	50715
35	1849	49538
36	1894	49301
37	1939	49090
38	1986	48950
39	2042	49017
40	2087	48816
41	2129	48565
42	2177	48463
43	2223	48315
44	2239	47535
45	2286	47418
46	2331	47271
47	2374	47092
48	2423	47044
49	2472	46977
50	2616	48683
51	2666	48606
52	2717	48550
53	2786	48810
54	2838	48768
55	2887	48682
56	2935	48560
57	2981	48416
58	3025	48255
59	3073	48148
60	3118	48011
61	3168	47939
62	3214	47815
63	3269	47811
64	3326	47843
65	3366	47642
66	3414	47541
67	3430	47022
68	3475	46891
69	3520	46777
70	3574	46769
71	3617	46623
72	3664	46532
73	3709	46414
74	3751	46274
75	3808	46302
76	3851	46167
77	3895	46048
78	3940	45934
79	3987	45853
80	4043	45870
81	4096	45863
82	4143	45779
83	4190	45699
84	4236	45605
85	4290	45598
86	4348	45635
87	4399	45591
88	4451	45570
89	4471	45211
90	4527	45221
91	4576	45165
92	4622	45079
93	4667	44984
94	4715	44925
95	4763	44853
96	4810	44783
97	4837	44520
98	4882	44436
99	4930	44378
100	4978	44311
101	5023	44224
102	5072	44175
103	5121	44125
104	5164	44018
105	5219	44022
106	5240	43738
107	5300	43776
108	5347	43710
109	5395	43654
110	5446	43618
111	5494	43563
112	5542	43503
113	5589	43439
114	5637	43384
115	5686	43331
116	5744	43351
117	5793	43303
118	5819	43084
119	5866	43024
120	5913	42957
121	5960	42896
122	6009	42850
123	6063	42836
124	6112	42787
125	6160	42734
126	6207	42671
127	6253	42599
128	6300	42543
129	6488	43426
130	6544	43410
131	6601	43410
132	6662	43429
133	6715	43402
134	6734	43153
135	6782	43091
136	6830	43028
137	6870	42913
138	6915	42834
139	6963	42773
140	7011	42712
141	7061	42665
142	7111	42620
143	7160	42565
144	7209	42513
145	7258	42459
146	7307	42403
147	7359	42367
148	7408	42313
149	7456	42252
150	7507	42210
151	7567	42220
152	7636	42277
153	7697	42285
154	7749	42245
155	7815	42283
156	7869	42256
157	7926	42242
158	7986	42241
159	8045	42237
160	8095	42187
161	8139	42106
162	8201	42115
163	8257	42091
164	8310	42057
165	8362	42013
166	8415	41976
167	8470	41950
168	8525	41922
169	8583	41906
170	8645	41915
171	8705	41906
172	8766	41904
173	8843	41983
174	8903	41972
175	8957	41937
176	9012	41903
177	9065	41865
178	9120	41832
179	9156	41713
180	9208	41666
181	9259	41617
182	9317	41595
183	9394	41664
184	9534	42001
185	9599	42009
186	9662	42008
187	9726	42008
188	9788	42000
189	9849	41988
190	9913	41987
191	9979	41995
192	10038	41973
193	10096	41948
194	10154	41919
195	10181	41764
196	10231	41704
197	10280	41640
198	10339	41617
199	10389	41558
200	10438	41496
201	10494	41456
202	10545	41401
203	10597	41352
204	10658	41334
205	10713	41293
206	10768	41252
207	10826	41222
208	10886	41202
209	10938	41148
210	10978	41050
211	11027	40990
212	11088	40968
213	11145	40936
214	11199	40890
215	11258	40864
216	11318	40840
217	11374	40801
218	11428	40756
219	11500	40773
220	11558	40741
221	11613	40698
222	11669	40658
223	11723	40613
224	11791	40614
225	11848	40578
226	11904	40536
227	11960	40498
228	12011	40441
229	12068	40401
230	12123	40357
231	12178	40315
232	12233	40269
233	12316	40316
234	12381	40304
235	12440	40271
236	12490	40213
237	12545	40167
238	12599	40117
239	12656	40080
240	12710	40029
241	12764	39980
242	12816	39926
243	12872	39883
244	12933	39857
245	12992	39823
246	13050	39784
247	13097	39713
248	13145	39647
249	13191	39575
250	13306	39706
251	13358	39652
252	13405	39580
253	13448	39498
254	13492	39419
255	13536	39340
256	13600	39319
257	13647	39250
258	13701	39199
259	13751	39138
260	13801	39077
261	13846	39002
262	13895	38939
263	13942	38869
264	13989	38802
265	14037	38734
266	14080	38654
267	14123	38576
268	14167	38500
269	14218	38441
270	14276	38403
271	14325	38341
272	14382	38301
273	14435	38248
274	14479	38174
275	14530	38115
276	14586	38072
277	14617	37962
278	14669	37909
279	14726	37868
280	14781	37822
281	14841	37786
282	14897	37743
283	14953	37700
284	14999	37631
285	15053	37581
286	15116	37553
287	15176	37518
288	15231	37473
289	15287	37427
290	15345	37387
291	15403	37348
292	15458	37300
293	15514	37256
294	15570	37211
295	15625	37163
296	15682	37120
297	15734	37065
298	15789	37017
299	15847	36976
300	15904	36934
301	15954	36875
302	16011	36831
303	16068	36788
304	16121	36735
305	16173	36680
306	16226	36627
307	16281	36580
308	16331	36521
309	16383	36467
310	16437	36416
311	16497	36379
312	16555	36336
313	16608	36284
314	16663	36236
315	16720	36193
316	16771	36134
317	16828	36090
318	16839	35949
319	16894	35899
320	16946	35846
321	16999	35794
322	17053	35743
323	17107	35694
324	17160	35640
325	17212	35587
326	17270	35543
327	17327	35500
328	17376	35440
329	17425	35378
330	17480	35329
331	17535	35282
332	17591	35235
333	17646	35186
334	17704	35144
335	17754	35087
336	17808	35035
337	17830	34922
338	17882	34867
339	17940	34825
340	17995	34777
341	18056	34740
342	18109	34686
343	18167	34645
344	18221	34594
345	18277	34547
346	18332	34498
347	18385	34445
348	18442	34400
349	18470	34301
350	18525	34253
351	18579	34203
352	18632	34149
353	18689	34105
354	18745	34059
355	18801	34012
356	18819	33897
357	18874	33846
358	18937	33814
359	18993	33766
360	19050	33720
361	19103	33669
362	19164	33629
363	19211	33567
364	19262	33511
365	19314	33457
366	19365	33402
367	19418	33349
368	19469	33294
369	19529	33252
370	19585	33206
371	19636	33149
372	19690	33099
373	19747	33053
374	19775	32959
375	19830	32910
376	19886	32862
377	19944	32819
378	20000	32770
379	20054	32719
380	20108	32669
381	20157	32611
382	20210	32557
383	20264	32507
384	20316	32453
385	20370	32403
386	20421	32347
387	20476	32297
388	20537	32257
389	20595	32213
390	20652	32166
391	20706	32116
392	20773	32084
393	20829	32036
394	20877	31977
395	20931	31926
396	20989	31880
397	21045	31832
