champion_name,role_group
Garen,AD Fighter
Galio,CC Tank
Gangplank,Poke Mage
Gragas,Sustain Mage
Graves,Poke Marksman
Gwen,Bruiser
Gnar,Bruiser
Nami,Utility Support
Nasus,Bruiser
Naafiri,AD Assassin
Nautilus,CC Tank
Nocturne,AD Assassin
Nunu & Willump,CC Tank
Nidalee,Poke Mage
Neeko,Burst Mage
Nilah,DPS Marksman
Darius,AD Fighter
Diana,AP Assassin
Draven,DPS Marksman
Ryze,Bruiser
Rakan,Utility Support
Rammus,CC Tank
Lux,Poke Mage
Rumble,Sustain Mage
Renata Glasc,Utility Support
Renekton,Bruiser
Leona,CC Tank
Rek'Sai,Bruiser
Rell,CC Tank
Rengar,AD Assassin
Lucian,DPS Marksman
Lulu,Utility Support
LeBlanc,AP Assassin
Lee Sin,AD Assassin
Riven,AD Fighter
Lissandra,Burst Mage
Lillia,Sustain Mage
Master Yi,Bruiser
Maokai,CC Tank
Malzahar,Poke Mage
Malphite,Sustain Tank
Milio,Burst Mage
Mordekaiser,Bruiser
Morgana,AP Support
Dr. Mundo,Sustain Tank
Miss Fortune,DPS Marksman
Milio,Utility Support
Bard,Utility Support
Varus,Poke Marksman
Vi,Bruiser
Veigar,Burst Mage
Vayne,DPS Marksman
Vex,Burst Mage
Bel'Veth,Bruiser
Vel'Koz,Poke Mage
Volibear,Sustain Tank
Braum,CC Tank
Briar,Bruiser
Brand,Burst Mage
Vladimir,Sustain Mage
Blitzcrank,CC Tank
Viego,Bruiser
Viktor,Poke Mage
Poppy,CC Tank
Samira,DPS Marksman
Sion,Sustain Tank
Sylas,Bruiser
Shaco,AD Assassin
Senna,Poke Support
Seraphine,AP Support
Sejuani,CC Tank
Sett,Bruiser
Sona,Utility Support
Soraka,Utility Support
Shen,Sustain Tank
Shyvana,Bruiser
Smolder,Poke Marksman
Swain,Sustain Mage
Skarner,CC Tank
Sivir,DPS Marksman
Xin Zhao,Bruiser
Syndra,Burst Mage
Singed,Sustain Tank
Thresh,Utility Support
Ahri,AP Assassin
Amumu,CC Tank
Aurelion Sol,Sustain Mage
Ivern,Utility Support
Azir,Poke Mage
Akali,AP Assassin
Akshan,AD Assassin
Aatrox,Bruiser
Aphelios,DPS Marksman
Alistar,CC Tank
Ambessa,Bruiser
Annie,Burst Mage
Anivia,Poke Mage
Ashe,Poke Marksman
Yasuo,Bruiser
Ekko,AP Assassin
Elise,AP Assassin
Wukong,Bruiser
Aurora,Poke Mage
Ornn,Sustain Tank
Orianna,Burst Mage
Olaf,Bruiser
Yone,Bruiser
Yorick,Sustain Tank
Udyr,Bruiser
Urgot,Bruiser
Warwick,Bruiser
Yuumi,Utility Support
Irelia,AD Fighter
Evelynn,AP Assassin
Ezreal,Poke Marksman
Illaoi,Bruiser
Jarvan IV,CC Tank
Xayah,DPS Marksman
Zyra,Poke Support
Zac,CC Tank
Janna,Utility Support
Jax,Bruiser
Zed,AD Assassin
Xerath,Poke Mage
Zeri,DPS Marksman
Jayce,Poke Mage
Zoe,Poke Mage
Ziggs,Poke Mage
Jhin,Poke Marksman
Zilean,Utility Support
Jinx,DPS Marksman
Cho'Gath,Sustain Tank
Karma,Utility Support
Camille,Bruiser
Kassadin,AP Assassin
Karthus,Burst Mage
Cassiopeia,Sustain Mage
Kai'Sa,DPS Marksman
Kha'Zix,AD Assassin
Katarina,AP Assassin
Kalista,DPS Marksman
Kennen,Burst Mage
Caitlyn,Poke Marksman
Kayn,AD Assassin
Kayle,Bruiser
Kog'Maw,DPS Marksman
Corki,Poke Marksman
Quinn,Poke Marksman
K'Sante,Sustain Tank
Kled,Bruiser
Qiyana,AD Assassin
Kindred,DPS Marksman
Taric,Utility Support
Talon,AD Assassin
Taliyah,Poke Mage
Tahm Kench,Sustain Tank
Trundle,Bruiser
Tristana,DPS Marksman
Tryndamere,AD Fighter
Twisted Fate,Poke Mage
Twitch,DPS Marksman
Teemo,Poke Marksman
Pyke,AD Assassin
Pantheon,AD Fighter
Fiddlesticks,Burst Mage
Fiora,AD Fighter
Fizz,AP Assassin
Heimerdinger,Poke Mage
Hecarim,Bruiser
Hwei,Poke Mage
