match_id,blue_1_name,blue_1_role,blue_2_name,blue_2_role,blue_3_name,blue_3_role,blue_4_name,blue_4_role,blue_5_name,blue_5_role,red_1_name,red_1_role,red_2_name,red_2_role,red_3_name,red_3_role,red_4_name,red_4_role,red_5_name,red_5_role,label
KR_7639139392,Fizz,Burst,Morgana,Poke,Ziggs,Poke,Lissandra,Burst,Shen,Sustain Tank,Diana,Burst,Quinn,Poke,Lucian,DPS Marksman,Lulu,Utility Support,Kalista,DPS Marksman,0
KR_7639230940,Mordekaiser,Bruiser AP,Heimerdinger,Poke,Gwen,Bruiser AP,Orianna,Burst,Zed,Assassin AD,Kassadin,Burst,Caitlyn,Poke,Lux,Poke,Udyr,Bruiser AD,Sion,Sustain Tank,0
KR_7639196936,Senna,DPS Marksman,Quinn,Poke,Fizz,Burst,Xerath,Poke,Thresh,Utility Support,Gragas,Sustain Mage,Rammus,CC Tank,Caitlyn,Poke,Malphite,Sustain Tank,Janna,Utility Support,1
KR_7639167970,Gangplank,Poke,Thresh,Utility Support,Zilean,Utility Support,Talon,Assassin AD,Taliyah,Poke,Xerath,Poke,Kled,Bruiser AD,Kalista,DPS Marksman,Cassiopeia,Sustain Mage,Lucian,DPS Marksman,0
KR_7636954670,Jax,Bruiser AD,Aatrox,Bruiser AD,Samira,DPS Marksman,Zilean,Utility Support,Rumble,Sustain Mage,Zed,Assassin AD,Illaoi,Bruiser AD,Yone,Bruiser AD,Ryze,Bruiser AD,Teemo,Poke,1
KR_7636675946,Naafiri,Assassin AD,Ezreal,Poke,Nilah,DPS Marksman,Lucian,DPS Marksman,Yone,Bruiser AD,Swain,Sustain Mage,Veigar,Burst,Shen,Sustain Tank,Jhin,Poke,Malphite,Sustain Tank,0
KR_7629607349,Neeko,Burst,Kalista,DPS Marksman,Mordekaiser,Bruiser AP,Smolder,Poke,Brand,Burst,Leona,CC Tank,Senna,DPS Marksman,Fizz,Burst,Caitlyn,Poke,Rell,CC Tank,0
KR_7639206631,Lillia,Sustain Mage,Aurora,Poke,Poppy,CC Tank,Riven,Bruiser AD,Lucian,DPS Marksman,Gragas,Sustain Mage,Zed,Assassin AD,Irelia,Bruiser AD,Karma,Utility Support,Karthus,Burst,1
KR_7634851222,Gragas,Sustain Mage,Zoe,Poke,Naafiri,Assassin AD,Malzahar,Poke,Ornn,Sustain Tank,Zyra,Poke,Heimerdinger,Poke,Shen,Sustain Tank,Sejuani,CC Tank,Sivir,DPS Marksman,0
KR_7638795933,Renekton,Bruiser AD,Rengar,Assassin AD,Sion,Sustain Tank,Jinx,DPS Marksman,Ryze,Bruiser AD,Zyra,Poke,Zoe,Poke,Aphelios,DPS Marksman,Ezreal,Poke,Xerath,Poke,0
